soc_code,vector_type,vector_json
13-1041.07,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.9028571428571429,""ria_E"":0.6371428571428571,""ria_I"":0.47428571428571425,""ria_R"":0.19999999999999998,""ria_S"":0.35714285714285715}"
13-1041.08,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.8757142857142857,""ria_E"":0.7171428571428571,""ria_I"":0.21857142857142858,""ria_R"":0.3385714285714286,""ria_S"":0.31}"
13-1051.00,riasec,"{""ria_A"":0.16,""ria_C"":0.92,""ria_E"":0.6642857142857144,""ria_I"":0.4542857142857143,""ria_R"":0.43,""ria_S"":0.23714285714285713}"
13-1071.00,riasec,"{""ria_A"":0.19285714285714287,""ria_C"":0.7885714285714285,""ria_E"":0.8099999999999999,""ria_I"":0.36,""ria_R"":0.14714285714285716,""ria_S"":0.5399999999999999}"
13-1074.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.6271428571428571,""ria_E"":0.7128571428571429,""ria_I"":0.22,""ria_R"":0.6928571428571428,""ria_S"":0.4628571428571429}"
13-1075.00,riasec,"{""ria_A"":0.24428571428571427,""ria_C"":0.6585714285714286,""ria_E"":0.8071428571428572,""ria_I"":0.4428571428571429,""ria_R"":0.18714285714285714,""ria_S"":0.5314285714285715}"
13-1081.00,riasec,"{""ria_A"":0.15714285714285717,""ria_C"":0.7771428571428572,""ria_E"":0.7171428571428571,""ria_I"":0.5442857142857143,""ria_R"":0.33571428571428574,""ria_S"":0.33285714285714285}"
13-1081.01,riasec,"{""ria_A"":0.15285714285714286,""ria_C"":0.8099999999999999,""ria_E"":0.5371428571428571,""ria_I"":0.7457142857142857,""ria_R"":0.5742857142857142,""ria_S"":0.18714285714285714}"
13-1081.02,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.97,""ria_E"":0.6385714285714286,""ria_I"":0.5771428571428572,""ria_R"":0.4114285714285714,""ria_S"":0.21714285714285714}"
13-1082.00,riasec,"{""ria_A"":0.22428571428571428,""ria_C"":0.7928571428571428,""ria_E"":0.9,""ria_I"":0.39285714285714285,""ria_R"":0.21142857142857144,""ria_S"":0.47428571428571425}"
13-1111.00,riasec,"{""ria_A"":0.23285714285714285,""ria_C"":0.8642857142857142,""ria_E"":0.687142857142857,""ria_I"":0.7771428571428572,""ria_R"":0.19571428571428573,""ria_S"":0.40285714285714286}"
13-1121.00,riasec,"{""ria_A"":0.35571428571428576,""ria_C"":0.7085714285714285,""ria_E"":1,""ria_I"":0.22285714285714286,""ria_R"":0.14285714285714285,""ria_S"":0.6514285714285714}"
13-1131.00,riasec,"{""ria_A"":0.46,""ria_C"":0.5814285714285715,""ria_E"":0.8614285714285714,""ria_I"":0.2885714285714286,""ria_R"":0.14285714285714285,""ria_S"":0.6042857142857143}"
13-1141.00,riasec,"{""ria_A"":0.20142857142857143,""ria_C"":0.8285714285714285,""ria_E"":0.7685714285714286,""ria_I"":0.48857142857142855,""ria_R"":0.1842857142857143,""ria_S"":0.52}"
13-1151.00,riasec,"{""ria_A"":0.4557142857142857,""ria_C"":0.5371428571428571,""ria_E"":0.5257142857142857,""ria_I"":0.5757142857142857,""ria_R"":0.29,""ria_S"":0.8057142857142857}"
13-1161.00,riasec,"{""ria_A"":0.3657142857142857,""ria_C"":0.66,""ria_E"":0.7885714285714285,""ria_I"":0.6571428571428571,""ria_R"":0.1542857142857143,""ria_S"":0.35285714285714287}"
13-1161.01,riasec,"{""ria_A"":0.4614285714285714,""ria_C"":0.6685714285714285,""ria_E"":0.7914285714285715,""ria_I"":0.5399999999999999,""ria_R"":0.14285714285714285,""ria_S"":0.39428571428571424}"
13-1199.04,riasec,"{""ria_A"":0.23714285714285713,""ria_C"":0.7228571428571428,""ria_E"":0.7471428571428572,""ria_I"":0.6271428571428571,""ria_R"":0.2857142857142857,""ria_S"":0.43714285714285717}"
13-1199.05,riasec,"{""ria_A"":0.35714285714285715,""ria_C"":0.63,""ria_E"":0.7271428571428571,""ria_I"":0.7428571428571429,""ria_R"":0.2942857142857143,""ria_S"":0.42142857142857143}"
13-1199.06,riasec,"{""ria_A"":0.26857142857142857,""ria_C"":0.8528571428571429,""ria_E"":0.8257142857142857,""ria_I"":0.23,""ria_R"":0.3457142857142857,""ria_S"":0.3314285714285714}"
13-1199.07,riasec,"{""ria_A"":0.24,""ria_C"":0.8114285714285714,""ria_E"":0.5328571428571428,""ria_I"":0.7271428571428571,""ria_R"":0.5514285714285714,""ria_S"":0.27999999999999997}"
13-2011.00,riasec,"{""ria_A"":0.1542857142857143,""ria_C"":1,""ria_E"":0.5528571428571428,""ria_I"":0.51,""ria_R"":0.16285714285714284,""ria_S"":0.30428571428571427}"
13-2022.00,riasec,"{""ria_A"":0.29857142857142854,""ria_C"":0.8571428571428571,""ria_E"":0.6642857142857144,""ria_I"":0.3671428571428571,""ria_R"":0.5128571428571428,""ria_S"":0.24}"
13-2023.00,riasec,"{""ria_A"":0.23,""ria_C"":0.83,""ria_E"":0.6957142857142857,""ria_I"":0.40714285714285714,""ria_R"":0.38571428571428573,""ria_S"":0.3757142857142857}"
13-2031.00,riasec,"{""ria_A"":0.22571428571428573,""ria_C"":1,""ria_E"":0.7014285714285714,""ria_I"":0.5314285714285715,""ria_R"":0.14285714285714285,""ria_S"":0.32142857142857145}"
13-2041.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.9785714285714285,""ria_E"":0.65,""ria_I"":0.5414285714285715,""ria_R"":0.14285714285714285,""ria_S"":0.3442857142857143}"
13-2051.00,riasec,"{""ria_A"":0.2542857142857143,""ria_C"":0.7914285714285715,""ria_E"":0.7271428571428571,""ria_I"":0.7228571428571428,""ria_R"":0.14285714285714285,""ria_S"":0.32142857142857145}"
13-2052.00,riasec,"{""ria_A"":0.2414285714285714,""ria_C"":0.8014285714285715,""ria_E"":0.8357142857142856,""ria_I"":0.46714285714285714,""ria_R"":0.14285714285714285,""ria_S"":0.5814285714285715}"
13-2053.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.88,""ria_E"":0.6428571428571429,""ria_I"":0.52,""ria_R"":0.24571428571428572,""ria_S"":0.4057142857142857}"
13-2054.00,riasec,"{""ria_A"":0.18714285714285714,""ria_C"":0.7657142857142858,""ria_E"":0.7028571428571428,""ria_I"":0.7085714285714285,""ria_R"":0.23857142857142857,""ria_S"":0.35428571428571426}"
13-2061.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.9142857142857144,""ria_E"":0.6614285714285714,""ria_I"":0.5142857142857143,""ria_R"":0.19142857142857145,""ria_S"":0.35714285714285715}"
13-2071.00,riasec,"{""ria_A"":0.2571428571428572,""ria_C"":0.7642857142857142,""ria_E"":0.6757142857142858,""ria_I"":0.37857142857142856,""ria_R"":0.14285714285714285,""ria_S"":0.6985714285714285}"
13-2072.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.8685714285714285,""ria_E"":0.7114285714285715,""ria_I"":0.3314285714285714,""ria_R"":0.20428571428571426,""ria_S"":0.5214285714285715}"
13-2081.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.9785714285714285,""ria_E"":0.6257142857142857,""ria_I"":0.35285714285714287,""ria_R"":0.17285714285714285,""ria_S"":0.45}"
13-2082.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.97,""ria_E"":0.4828571428571428,""ria_I"":0.33999999999999997,""ria_R"":0.31,""ria_S"":0.32285714285714284}"
13-2099.01,riasec,"{""ria_A"":0.2642857142857143,""ria_C"":0.8271428571428572,""ria_E"":0.4928571428571429,""ria_I"":0.9528571428571428,""ria_R"":0.23285714285714285,""ria_S"":0.22571428571428573}"
13-2099.04,riasec,"{""ria_A"":0.1742857142857143,""ria_C"":0.8028571428571428,""ria_E"":0.6528571428571429,""ria_I"":0.6671428571428571,""ria_R"":0.2871428571428571,""ria_S"":0.2785714285714286}"
15-1211.00,riasec,"{""ria_A"":0.28285714285714286,""ria_C"":0.8471428571428571,""ria_E"":0.31857142857142856,""ria_I"":0.9128571428571428,""ria_R"":0.46714285714285714,""ria_S"":0.27285714285714285}"
15-1211.01,riasec,"{""ria_A"":0.2842857142857143,""ria_C"":0.6728571428571428,""ria_E"":0.29714285714285715,""ria_I"":0.8985714285714286,""ria_R"":0.4057142857142857,""ria_S"":0.6457142857142857}"
15-1212.00,riasec,"{""ria_A"":0.19142857142857145,""ria_C"":0.8685714285714285,""ria_E"":0.40714285714285714,""ria_I"":0.7714285714285715,""ria_R"":0.5085714285714286,""ria_S"":0.30142857142857143}"
15-1221.00,riasec,"{""ria_A"":0.42142857142857143,""ria_C"":0.6857142857142857,""ria_E"":0.35571428571428576,""ria_I"":1,""ria_R"":0.5342857142857144,""ria_S"":0.2857142857142857}"
15-1231.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.7785714285714286,""ria_E"":0.37714285714285717,""ria_I"":0.6585714285714286,""ria_R"":0.6257142857142857,""ria_S"":0.3257142857142857}"
15-1232.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.86,""ria_E"":0.33714285714285713,""ria_I"":0.5385714285714286,""ria_R"":0.59,""ria_S"":0.47285714285714286}"
15-1241.00,riasec,"{""ria_A"":0.32142857142857145,""ria_C"":0.7228571428571428,""ria_E"":0.4571428571428572,""ria_I"":0.7542857142857143,""ria_R"":0.5771428571428572,""ria_S"":0.31}"
15-1241.01,riasec,"{""ria_A"":0.2714285714285714,""ria_C"":0.7071428571428572,""ria_E"":0.43857142857142856,""ria_I"":0.6128571428571429,""ria_R"":0.6485714285714286,""ria_S"":0.33}"
15-1242.00,riasec,"{""ria_A"":0.17142857142857143,""ria_C"":0.9442857142857143,""ria_E"":0.42,""ria_I"":0.6900000000000001,""ria_R"":0.4042857142857143,""ria_S"":0.3271428571428571}"
15-1243.00,riasec,"{""ria_A"":0.3085714285714286,""ria_C"":0.8742857142857143,""ria_E"":0.3828571428571429,""ria_I"":0.8042857142857143,""ria_R"":0.3757142857142857,""ria_S"":0.27285714285714285}"
15-1243.01,riasec,"{""ria_A"":0.23142857142857146,""ria_C"":0.9114285714285714,""ria_E"":0.43571428571428567,""ria_I"":0.6842857142857143,""ria_R"":0.4185714285714286,""ria_S"":0.29}"
15-1244.00,riasec,"{""ria_A"":0.14285714285714285,""ria_C"":0.8828571428571428,""ria_E"":0.4942857142857143,""ria_I"":0.5771428571428572,""ria_R"":0.5985714285714286,""ria_S"":0.31714285714285717}"
15-1251.00,riasec,"{""ria_A"":0.35857142857142854,""ria_C"":0.8457142857142858,""ria_E"":0.29857142857142854,""ria_I"":0.7285714285714285,""ria_R"":0.48142857142857143,""ria_S"":0.28285714285714286}"
15-1252.00,riasec,"{""ria_A"":0.3385714285714286,""ria_C"":0.8028571428571428,""ria_E"":0.2671428571428572,""ria_I"":0.8642857142857142,""ria_R"":0.5157142857142857,""ria_S"":0.25857142857142856}"
15-1253.00,riasec,"{""ria_A"":0.2414285714285714,""ria_C"":0.8099999999999999,""ria_E"":0.22428571428571428,""ria_I"":0.8228571428571428,""ria_R"":0.5428571428571428,""ria_S"":0.21857142857142858}"
15-1254.00,riasec,"{""ria_A"":0.4471428571428571,""ria_C"":0.7185714285714286,""ria_E"":0.4228571428571429,""ria_I"":0.7157142857142856,""ria_R"":0.4257142857142857,""ria_S"":0.31714285714285717}"
15-1255.00,riasec,"{""ria_A"":0.64,""ria_C"":0.6285714285714287,""ria_E"":0.4471428571428571,""ria_I"":0.6971428571428572,""ria_R"":0.37,""ria_S"":0.31428571428571433}"
15-1255.01,riasec,"{""ria_A"":0.9114285714285714,""ria_C"":0.55,""ria_E"":0.5599999999999999,""ria_I"":0.5928571428571429,""ria_R"":0.39571428571428574,""ria_S"":0.32857142857142857}"
15-1299.01,riasec,"{""ria_A"":0.3457142857142857,""ria_C"":0.7914285714285715,""ria_E"":0.5385714285714286,""ria_I"":0.63,""ria_R"":0.35000000000000003,""ria_S"":0.3242857142857143}"
15-1299.02,riasec,"{""ria_A"":0.33,""ria_C"":0.84,""ria_E"":0.2757142857142857,""ria_I"":0.7414285714285714,""ria_R"":0.6085714285714285,""ria_S"":0.2757142857142857}"
15-1299.03,riasec,"{""ria_A"":0.25857142857142856,""ria_C"":0.9628571428571429,""ria_E"":0.4185714285714286,""ria_I"":0.5557142857142857,""ria_R"":0.25,""ria_S"":0.3271428571428571}"
15-1299.04,riasec,"{""ria_A"":0.18714285714285714,""ria_C"":0.74,""ria_E"":0.3,""ria_I"":0.7414285714285714,""ria_R"":0.5585714285714286,""ria_S"":0.2842857142857143}"
15-1299.05,riasec,"{""ria_A"":0.19,""ria_C"":0.8657142857142857,""ria_E"":0.38,""ria_I"":0.7914285714285715,""ria_R"":0.6142857142857142,""ria_S"":0.26142857142857145}"
15-1299.06,riasec,"{""ria_A"":0.2414285714285714,""ria_C"":0.8614285714285714,""ria_E"":0.3871428571428571,""ria_I"":0.8728571428571429,""ria_R"":0.4571428571428572,""ria_S"":0.2357142857142857}"
15-1299.07,riasec,"{""ria_A"":0.2957142857142857,""ria_C"":0.812857142857143,""ria_E"":0.4842857142857143,""ria_I"":0.7542857142857143,""ria_R"":0.4857142857142857,""ria_S"":0.22428571428571428}"
